Address,PT Float WBNBZRGT,PT Stable WBNBZRGT,Total Liability WBNBZRGT,PT Float ZRGWBNB,PT Stable ZRGWBNB,Total Liability ZRGWBNB,PT Float WBNBUSDT,PT Stable WBNBUSDT,Total Liability WBNBUSDT,PT Float ZRGUSDT,PT Stable ZRGUSDT,Total Liability ZRGUSDT
0xC6a20F97BFE06287bc104BD0d0D3343a6dA4A4fF,0,0,0,0,0,0,0,0,0,1001812551087554843646730,119742264698467129762,120.0433855279116
0x7Bba80E55FeD1812974Ea0dB50E58D3f82348c1b,0,0,0,0,748558233058803847,237.82501739019062,0,0,0,74650078195283341056776,2045656021945210392283,2050.800317818066
0x2B043fb6e0a646CA33e070C96782f5434026465e,0,0,0,0,0,0,0,0,0,0,0,0
0x37d768C8FC5A0F54754A6bDB8b8469e6fF8CaD07,0,0,0,0,13804697832986975633,4385.901266199231,0,0,0,0,0,0
0xB79e0DCF43D1AB974eEEC8FCE9A9ED50EbeC2705,0,0,0,0,0,0,0,0,0,0,0,0
0x6a6344ACc9779052247977C12e444EaF7120D364,0,0,0,0,0,0,0,0,0,0,3249002950540464124877,3257.1733527439937
0x4ae2fd7128533fe9b8a358e986f8d7e53fe13c14,0,0,0,0,0,0,0,0,0,0,1093512198942886461230,1096.2620993325836
0x99873B7A96f3cF28966ed90E14B8F2e3bFD73296,0,0,0,219583992568478345154613,0,0,0,0,0,0,0,0
0x5163D2109Ac93B447828789b8dF537bc9Fa3BF19,0,0,0,0,0,0,0,0,0,132645530747490075755348,4000000000000000000000,4010.0589655693184
0xe65130C719584A68D48e2968E79e19d5dAf1e983,0,0,0,0,0,0,0,0,0,0,0,0
0x8e14f987963431F4D48df40DC13A0F84E50dA983,0,0,0,0,0,0,0,0,0,0,0,0
0xfB17d5CD85854B6Bee89e714591DE521F3169dE5,0,0,0,0,0,0,0,0,0,0,217082169022309183273,217.62807453828282
