Address,PT Float ZRGWMOVR,PT Stable ZRGWMOVR,Total Liability ZRGWMOVR,PT Float WMOVRZRG,PT Stable WMOVRZRG,Total Liability WMOVRZRG,PT Float ZRGETH,PT Stable ZRGETH,Total Liability ZRGETH,PT Float ZRGUSDC,PT Stable ZRGUSDC,Total Liability ZRGUSDC,PT Float ZRGxcKSM,PT Stable ZRGxcKSM,Total Liability ZRGxcKSM,PT Float WMOVRUSDC,PT Stable WMOVRUSDC,Total Liability WMOVRUSDC,PT Float USDCWMOVR,PT Stable USDCWMOVR,Total Liability USDCWMOVR,PT Float ETHWMOVR,PT Stable ETHWMOVR,Total Liability ETHWMOVR,PT Float WMOVRETH,PT Stable WMOVRETH,Total Liability WMOVRETH,PT Float WMOVRxcKSM,PT Stable WMOVRxcKSM,Total Liability WMOVRxcKSM,PT Float xcKSMWMOVR,PT Stable xcKSMWMOVR,Total Liability xcKSMWMOVR,PT Float xcKSMUSDC,PT Stable xcKSMUSDC,Total Liability xcKSMUSDC,PT Float ETHUSDC,PT Stable ETHUSDC,Total Liability ETHUSDC,PT Float LDOUSDC,PT Stable LDOUSDC,Total Liability LDOUSDC,PT Float LDOWMOVR,PT Stable LDOWMOVR,Total Liability LDOWMOVR,PT Float WMOVRLDO,PT Stable WMOVRLDO,Total Liability WMOVRLDO,PT Float MFAMWMOVR,PT Stable MFAMWMOVR,Total Liability MFAMWMOVR,PT Float xcRMRKWMOVR,PT Stable xcRMRKWMOVR,Total Liability xcRMRKWMOVR
0xA789D788923787172Cc6B2C53704Fb6017C9E157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xD84A185d5FF025b917Ced55a5a1fe88230572BE6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x7d747ae6dc13f4cf60ee00fa0839f7d456db984b,81223599954179142994995081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9965,958765125097999,0.06366642411012435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x83a110727D39159A65c835D0C6c162ebC01acaeA,12826415410222673666519553,328709984485112464009,2706.6001459161125,0,0,0,0,0,0,7131875939751875112317681,0,0,0,0,0,23272930850244925880,0,174.27996201419592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xe749f5e3d8FB128291910265BB852a6084FB7436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x9CD349FB2cbd22ccfF2DA7962b6e853e0eF566E0,4376957935827557654593698,0,0,0,0,0,0,0,0,454501684933042592477348,661764297,674.6285528686058,271268869593400400968357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x9Aa8cC57ef8793975f60e23611af8804070a4f22,0,0,0,0,0,0,0,0,0,0,7926675194,8080.764464674161,8971882154953876303044,485550810798,16.733164288008993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984746126,998.3204452499049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02ac7b7229c309bcbd4bae60cdf347251c9cad6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x6d9807d18374f33213de86917937544a7095e39e,0,0,0,0,0,0,0,0,0,0,14722677316,15008.876328129401,0,0,0,0,0,0,0,0,0,0,0,0,14301247995474705363,0,1604.9552423954883,125958339191168460242,0,998.7882436707296,0,0,0,0,0,0,43197110336698299,0,623.6718038510153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x22963f931baa98d5ce2a43ab7681a638a693f560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x3eaA0ecb2A2838EEe02FB280C98E740cc13F4C3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
