Pylon,Total USD Taken,Total Liability,VAB,VFB,PTF Price USD,PTS Price USD,PTF Price,PTS Price,Gamma,Pair Balance 0,Pair Balance 1,PTF total Supply,PTS total Supply
WBNB/ZRGT,1.1906712000000006,0.18868560000000006,1099.99,0.00058000000000000023,188.6856000000000748236,0,0.58000000000000023,NaN,500000000000000000,1830.00000000000001,0.001830000000000001,1000000000000000,1099990000000000000000
ZRG/WBNB,24615.85454756043,48347.37112527857,148.779453241256069214,15767808.52163111865964102489,0,325.4422326699054825336288,NaN,1.00148397547361362178,185835120776978108,23039773.113512245663606636,75.750414043452822907,23491948869219389079910278,148558995335793071861
WBNB/USDT,24814.69040685776,27378.246915557764,18302.789196549470616011,27.58998333280709213753,251.7244968001447354777488,1.00641870484892704424624,0.77463225258537892503,1.00041620760330720104,223043739130897497,13083.177487943826072083,38.181145997750125092,35616879158754316497,18295174605774714355589
ZRG/USDT,0,62985.03345706555,62609.377193902134570255,17023807.98423015115836817637,0,1.00752230753314985752992,NaN,1.00151322816416486832,100897587846996028,32030.427901881837824065,28352778.768379789242821797,23987658943780657764296397,62514778071048507668992
